,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
161,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309
162,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827
163,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363
164,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058
165,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422
166,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593
167,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015
168,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136
169,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136,18.774777
170,21.208172,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136,18.774777,24.508556
171,21.251403,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136,18.774777,24.508556,18.801321
172,20.811667,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136,18.774777,24.508556,18.801321,20.38494
173,21.442429,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136,18.774777,24.508556,18.801321,20.38494,20.966468
174,23.812328,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136,18.774777,24.508556,18.801321,20.38494,20.966468,19.450774
175,21.336309,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136,18.774777,24.508556,18.801321,20.38494,20.966468,19.450774,23.480513
176,18.243827,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136,18.774777,24.508556,18.801321,20.38494,20.966468,19.450774,23.480513,22.907429
177,20.71363,24.989058,19.812422,22.880593,22.083015,19.806136,18.774777,24.508556,18.801321,20.38494,20.966468,19.450774,23.480513,22.907429,18.769882
